covariate,smd_all,smd_matched,bs_id
forest_type,0.338502073547536,0.0607947772482728,b10
ppt,1.34514097063035,0.121862762672273,b10
dist_flowline,0.0878272578928203,0.0183859715107363,b10
density_flowline,0.759220973983174,0.0574446791126049,b10
wet_freq_z,0.260848827433632,0.0284064570178868,b10
wet_sev_z,0.897202387730245,0.0109886303944506,b10
wet_freq,0.301986142170579,0.0748167546040304,b10
tmax_z,0.179259566491529,0.023151473929672,b10
spei_freq,0.587068399816894,0.00905389204003248,b10
insect_defo,0.0674714680605047,0.000571972453700368,b10
insect_mort,0.0290876830709799,0.0207515439973018,b10
hurr_ws,0,0,b10
regionatlantic,0.123464683180675,0.016913862400079,b10
regionlakes,0.963289568547147,0.0323225137591776,b10
regionpacific,1.66373754024352,0.094115678576714,b10
tpa_live,0.479918157774654,0.0178726062610571,b10
distance,1.08759328561552,0.00156658498787558,b11
tree_cover,0.276053994203711,0.078144343024796,b11
forest_type,0.320803924197288,0.0755228833557945,b11
ppt,1.30154644617906,0.137080825377416,b11
dist_flowline,0.0907642415459584,0.0202133729471783,b11
density_flowline,0.751473662960137,0.0476580291395558,b11
wet_freq_z,0.247255816187358,0.0551036020168765,b11
wet_sev_z,0.904010947248431,0.0061482334982286,b11
wet_freq,0.283633160147018,0.0605352621581534,b11
tmax_z,0.187089029630078,0.030436016195131,b11
spei_freq,0.594057652065369,0.0322995343148428,b11
insect_defo,0.0445322079477245,0.0346300287169949,b11
insect_mort,0.00717179445354847,0.015232122479739,b11
hurr_ws,0,0,b11
regionatlantic,0.131461276538191,0.00379028111104137,b11
regionlakes,0.967687837006522,0.0398561162975415,b11
regionpacific,1.6434876594395,0.0842363184927093,b11
tpa_live,0.469344429024633,0.0250787740172802,b11
distance,1.10031694189325,0.00178142196799292,b12
tree_cover,0.281887848551716,0.0644933239692664,b12
forest_type,0.335526092785649,0.066491959072104,b12
ppt,1.37572378422694,0.125226815975297,b12
dist_flowline,0.0924731968288909,0.0398852355783318,b12
density_flowline,0.746699373902612,0.0656595017892394,b12
wet_freq_z,0.260838795041485,0.0399026832855295,b12
wet_sev_z,0.90467110520582,0.00713541776059043,b12
wet_freq,0.305411475768624,0.0595111633321862,b12
tmax_z,0.15493218003224,0.00941540914842952,b12
spei_freq,0.575418051936415,0.00395878265798026,b12
insect_defo,0.0453417943438984,0.0211038535351956,b12
insect_mort,0.0175676020593968,0.0234918744446174,b12
hurr_ws,0,0,b12
regionatlantic,0.104795566708296,0.00963536408996701,b12
regionlakes,0.948797669793816,0.0325448831124985,b12
regionpacific,1.71072934490416,0.0834893944815448,b12
tpa_live,0.486106919127092,0.00784060598175265,b12
distance,1.09551931980539,0.00172912240521309,b13
tree_cover,0.303259542963579,0.0802943567456924,b13
forest_type,0.317759587628614,0.0653221222867544,b13
ppt,1.3585433607389,0.131055782922967,b13
dist_flowline,0.0959859944985166,0.0171542298922118,b13
density_flowline,0.726915817749608,0.0529740238320215,b13
wet_freq_z,0.257474693349978,0.0282748634222381,b13
wet_sev_z,0.894191643777648,0.00779234857633862,b13
wet_freq,0.329034382854524,0.0746031449663264,b13
tmax_z,0.187475823625343,0.0140352478185503,b13
spei_freq,0.559654774852034,1.45382996720298e-05,b13
insect_defo,0.0972332823164855,0.0197467409903143,b13
insect_mort,0.0162358622722498,0.0123064371371639,b13
hurr_ws,0,0,b13
regionatlantic,0.111315359347184,0.0345739265916807,b13
regionlakes,0.95011265465566,0.0157554267431973,b13
regionpacific,1.67339629532277,0.0946692206540644,b13
